Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
These three former Jeopardy champions were the contestants in the \emph{Jeopardy!: The Greatest of All Time} championship held earlier this year. (Spelling is not important as long as what you write down would lead to the right pronunciation.),"Who are Ken Jennings, Brad Rutter, and James Holzhauer?",Bonus,Alex Trebek,,jeopardygoat.jpg,,
"Which 1979 film tells the story of a boy who is shipwrecked on an island with an Arabian horse, and who, after being rescued from the island, rides the horse in a race?",\emph{The Black Stallion},Colorful Movies,Colorful Movies,,blackstallion.jpg,,
Which 1990 film was an adaptation of Tom Clancy’s 1984 novel of the same name?,\emph{The Hunt for Red October},Colorful Movies,Colorful Movies,,redoctober.png,,
Which 1973 film ends with the main character shouting that the titular substance “is people”?,\emph{Soylent Green},Colorful Movies,Colorful Movies,,soylent.jpg,,
Which 1971 Stanley Kubrick film is known for its gruesome violence and disturbing imagery?,\emph{A Clockwork Orange},Colorful Movies,Colorful Movies,,clockwork.jpg,,
"Which 1980 musical comedy, starring two former \emph{Saturday Night Live} cast members, was based on characters they had portrayed on \emph{SNL}?",\emph{The Blues Brothers},Colorful Movies,Colorful Movies,,bluesbrothers.jpg,,
What is the title of the 1956 French short film in which a young boy befriends a normally-inanimate object that follows him around Paris?,\emph{The Red Balloon} / \emph{Le ballon rouge},Colorful Movies,Colorful Movies,,redballoon.jpg,,
Which series of comedy-mystery films feature the clueless Inspector Jacques Clouseau?,\emph{The Pink Panther},Colorful Movies,Colorful Movies,,clouseau.jpeg,,
What is the title of the 2004 comedy about two stoners on a journey to reach a fast food restaurant?,\emph{Harold and Kumar Go to White Castle},Colorful Movies,Colorful Movies,,whitecastle.jpg,,
What is the only Tyler Perry film with a color in the title?,\emph{Meet the Browns},Colorful Movies,Colorful Movies,,meetbrowns.jpg,,
Which 1985 Steven Spielberg film was based on the Alice Walker novel of the same name?,\emph{The Color Purple},Colorful Movies,Colorful Movies,,colorpurple.jpg,,
Name all three James Bond films with “gold” in the title.,"\emph{Goldfinger}, \emph{The Man With the Golden Gun}, and \emph{GoldenEye}",Bonus,Colorful Movies,,bond007.jpg,,
In what year was Joe Biden born?,1942,Biden/Harris,Biden/Harris,,bidenyoung.jpg,,
In what city was Joe Biden born?,"Scranton, Pennsylvania",Biden/Harris,Biden/Harris,,scranton.jpg,,
In what city was Kamala Harris born?,"Oakland, California",Biden/Harris,Biden/Harris,,oakland.JPG,,
"Fill in the blank in Joe Biden's favorite phrase: ""Now here's the ________, folks.""",Deal,Biden/Harris,Biden/Harris,,deal.jpg,,
What is Joe Biden’s middle name?,Robinette,Biden/Harris,Biden/Harris,,biden.jpg,,
What is Kamala Harris’s middle name?,Devi,Biden/Harris,Biden/Harris,,kamala.jpg,,
What statewide elected office in California did Kamala Harris hold before becoming a U.S. Senator?,Attorney General,Biden/Harris,Biden/Harris,,kamalaharrisag.jpg,,
How old was Joe Biden when he first became a U.S. Senator?,29,Biden/Harris,Biden/Harris,,bidensenate.jpg,,
Where did Joe Biden go to law school?,Syracuse University,Biden/Harris,Biden/Harris,,syracuse.jpg,,
Where did Kamala Harris go to law school?,"University of California, Hastings",Biden/Harris,Biden/Harris,,hastings.jpg,,
What number vice president was Joe Biden?,47,Bonus,Biden/Harris,,obamabiden.jpeg,,
What colorful song came up in connection with Brett Kavanaugh's Supreme Court confirmation hearing?,\emph{Red Red Wine} (by UB40),Colorful Songs,Colorful Songs,,kredredwine.jpg,,
What colorful song was a hit for the Moody Blues in 1967?,\emph{Knights in White Satin},Colorful Songs,Colorful Songs,,knightsinwhitesatin.jpg,,
What was the color of the Corvette that Prince sang about?,Red (\emph{Little Red Corvette}),Colorful Songs,Colorful Songs,,prince-little-red-corvette-warner-brothers.jpg,,
Which colorful Jay-Z song lent its name to the album it was on? (The album has had two similarly-named sequels.),\emph{Blueprint},Colorful Songs,Colorful Songs,,blueprint.jpg,,
What colorful song did both Elvis and Carl Perkins sing to tell people to steer clear of their footwear?,\emph{Blue Suede Shoes},Colorful Songs,Colorful Songs,,bluesuede.jpg,,
"Finish this line from the colorful novelty-song  lyrics: “It was a one-eyed, one-horned, flying\ldots”",Purple People Eater (from the song of the same name),Colorful Songs,Colorful Songs,,PPE2.jpg,,
Which colorful Kanye West song featured Jamie Foxx and began with the lyric “She take my money”?,\emph{Gold Digger},Colorful Songs,Colorful Songs,,kanye-west-gold-digger.jpg,,
John Legend and Lorde have both released songs with the same colorful title. What is the common title of these two songs?,\emph{Green Light},Colorful Songs,Colorful Songs,,legendgreen.jpg,,
Name either Beatles song whose title mentions a colorful bird.,\emph{Blackbird} and \emph{Blue Jay Way} (you only needed one),Colorful Songs,Colorful Songs,,beatlesblackbird.jpg,,
What colorful animal gave its name to the title of a Kendrick Lamar song?,\emph{Black Panther},Colorful Songs,Colorful Songs,,blackpanther.jpg,,
What is the title of the Jefferson Airplane song that begins “One pill makes you larger / And one pill makes you small\ldots”?,\emph{White Rabbit},Bonus,Colorful Songs,,whiterabbit.jpg,,
The fish pictured here was the main character of which children’s book?,\emph{The Rainbow Fish},Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,rainbowfish.jpeg,,,
What was the name of the sheep who was the first mammal to be cloned?,Dolly,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,dolly.jpg,,
What is the two-word name of the Pennsylvanian groundhog who each February determines whether or not we will have six more weeks of winter? ,Punxsutawney Phil (we will be lenient with spelling),Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,phil.JPG,,
What is the name of the cricket in Disney’s \emph{Pinocchio}?,Jiminy Cricket,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,Jiminy-Cricket-46.jpg,,
"In \emph{The Legend of Sleepy Hollow}, what is the name of Ichabod Crane’s horse?",Gunpowder,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,sleepyhollow.jpg,,
"What was the name of the famous dog who was part of the team that saved Nome, Alaska, by delivering diphtheria antidote to that city? (There is a statue of this famous canine in Central Park.)",Balto,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,balto.JPG,,,
What was the name of the first “first dog” under Barack Obama? (The Obamas adopted a second dog in 2013.),Bo,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,bo.jpg,,
What was the name of the fictional bull terrier who was part of a Bud Light marketing campaign in the 1980s?,Spuds MacKenzie,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,spuds.jpg,,
Whose cow was purported to have started the Great Chicago Fire by kicking over a lantern? (The cow was exonerated by the Chicago City Council in 1997.),Mrs. O’Leary’s Cow,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,olearycaracature.jpg,,
What was the name of the German Shepherd who was rescued from a WWI battlefield and went on to star in 27 Hollywood films?,Rin-Tin-Tin,Famous Animals in Fact and Fiction,Famous Animals in Fact and Fiction,,rintintin.jpg,,
"In \emph{The Odyssey}, what was the name of Odysseus’s dog?",Argos,Bonus,Famous Animals in Fact and Fiction,,argos.jpg,,
The Supreme Court's decision in which case made same-sex marriage the law of the land?,Obergefell v. Hodges (2015),Famous Court Cases,Famous Court Cases,,hodges.jpg,,
"In which case did the Supreme Court hold that ""separate but equal"" schools were ""inherently unequal?""",Brown v. Topeka Board of Education (1954),Famous Court Cases,Famous Court Cases,,brown.jpg,,
In which case did the Supreme Court hold that corporations and unions were people for purposes of their making campaign contributions?,Citizens United v. FEC (2010),Famous Court Cases,Famous Court Cases,,citizens-united-decision.jpg,,
The Supreme Court's action in which case halted the recount in the 2000 presidential election?,Bush v. Gore (2000),Famous Court Cases,Famous Court Cases,,hanging-chad.jpg,,
"What court case about teaching evolution was known as the ""Monkey Trial?""",The State of Tennessee v. John Thomas Scopes / The Scopes Trial (1925),Famous Court Cases,Famous Court Cases,,Onion-Scopes-small.jpg,,
The Supreme Court's decision in which case  gave newspapers and other news services a relatively  broad defense against libel suits by persons found to be “public figures”?,The New York Times v. Sullivan (1964),Bonus,Famous Court Cases,,sullivan.jpg,,
What two newspapers were involved in the 1971 Pentagon Papers prior restraint case?,The New York Times and The Washington Post,Famous Court Cases,Famous Court Cases,,pentagon-papers.jpg,,
"In his dissent in  Schenck v. United States, Justice Holmes put forth his famous example of speech that is not protected by the First Amendment.  What was his example of such speech?","Falsely shouting ""Fire!"" in a crowded theater.",Famous Court Cases,Famous Court Cases,,theater-fire.jpg,,
"In which case did the Supreme Court hold that when a person is arrested, he or she must be ""read their rights"" by the arresting officer?",Miranda v. Arizona (1966),Famous Court Cases,Famous Court Cases,,Miranda.jpg,,
In which case did the Supreme Court hold that criminal defendants have the right to be represented by an  attorney at no cost? ,Gideon v. Wainwright (1963),Famous Court Cases,Famous Court Cases,,gideon.jpg,,
In which case did the Supreme Court render its infamous decision upholding the government's internment of Americans of Japanese ancestry during World War II?,Korematsu v. United States (1944),Famous Court Cases,Famous Court Cases,,korematsu.jpg,,
Which scientist -.-.- arguably history’s first “revolutionary” scientist -.-.- developed the first heliocentric model of the solar system?,Copernicus,Scientific Breakthroughs,Scientific Breakthroughs,,copernicus.jpg,,
"When Alexander Fleming discovered that mold had destroyed his bacterial cultures, he developed the mold into what medicine?",Penicillin,Scientific Breakthroughs,Scientific Breakthroughs,,fleming.jpg,,
"Max Planck solved the ""ultraviolet catastrophe"" by positing that electromagnetic radiation only came in discrete packets that we now know by what name?",Photons,Scientific Breakthroughs,Scientific Breakthroughs,,planck.jpeg,,
The 2020 Nobel Prize in Chemistry was awarded in part for research into the CRISPR-cas9 system. What does this system allow scientists to do?,Edit DNA / edit genes / genome editing / genome splicing,Scientific Breakthroughs,Scientific Breakthroughs,,crispr.jpg,,
"When Einstein proposed the theory of relativity, he dispelled the existence of what substance that had been believed to permeate the universe and provide a universal reference frame?",The (luminiferous) aether / quintessence,Scientific Breakthroughs,Scientific Breakthroughs,,aether.jpg,,
On which group of islands did Darwin observe the diversity in groups of closely-related animals that would lead him to develop the Theory of Evolution?,The Galapagos Islands,Scientific Breakthroughs,Scientific Breakthroughs,,galapagosfinches.jpg,,
Edwin Hubble’s conclusion that the universe is expanding was driven by the observation that the speed at which a galaxy moves away from Earth is proportional to what?,"Its distance from Earth (or from the Milky Way, or any reasonable proxy for Earth)",Scientific Breakthroughs,Scientific Breakthroughs,,hubble.jpg,,
"Predicted by Einstein but only first detected in 2015, “ripples in the fabric of spacetime” are known by what more formal scientific name?",Gravitational waves,Scientific Breakthroughs,Scientific Breakthroughs,,gravwaves.jpg,,
Which scientist produced the detailed X-ray crystallography from which Watson and Crick deduced the double-helix structure of DNA?,Rosalind Franklin,Scientific Breakthroughs,Scientific Breakthroughs,,rosalindfranklin.jpg,,
Who discovered that white light is composed of a continuous spectrum of colors that can be separated from each other with a prism?,Isaac Newton,Scientific Breakthroughs,Scientific Breakthroughs,,newtonprism.jpg,,
What is the title of the book written by Thomas Kuhn that replaced the prevailing “development-by-accumulation” model of scientific progress with the “paradigm shift”?,\emph{The Structure of Scientific Revolutions},Bonus,Scientific Breakthroughs,,kuhn.jpg,,
How many days long was the first Thanksgiving?,Three days,The Holiday Season,The Holiday Season,,fatpilgrim.jpg,,
"After Black Friday, which day is typically the biggest shopping day of the holiday season? (Some years, it even surpasses Black Friday.)",Super Saturday / Panic Saturday / The Saturday before Christmas,The Holiday Season,The Holiday Season,,supersaturday.jpg,,
From which Ancient Roman winter holiday are many of the customs associated with Christmas thought to have been derived?,Saturnalia,The Holiday Season,The Holiday Season,,saturnalia.jpg,,
Who wrote the musical score for \emph{A Charlie Brown Christmas}?,Vince Guaraldi,The Holiday Season,The Holiday Season,,guaraldi.jpg,,
"According to Spanish tradition, how many grapes should you eat at the stroke of midnight on New Year’s Eve?",Twelve,The Holiday Season,The Holiday Season,,spaingrapes.jpg,,
"According to \emph{The Village Voice}, which annual holiday-season event began as “joyful performance art”, but has since evolved into a “reviled bar crawl”?",SantaCon,The Holiday Season,The Holiday Season,,santacon.jpeg,,
On what dates does Kwanzaa begin and end?,December 26-.-January 1,The Holiday Season,The Holiday Season,,kwanzaa-usa.jpg,,
"What was the original title of the poem often referred to by its first line, \emph{`Twas the night before Christmas}? ",\emph{A Visit from St. Nicholas} (by Clement Clarke Moore),The Holiday Season,The Holiday Season,,stnick.jpg,,
"Without using a calculator, how many candles are used by a menorah over the course of Chanukah? (Assume no reuse of candles.)",44 ($2+3+\cdots+8+9$),The Holiday Season,The Holiday Season,,menorah.jpg,,
"In the song “The Twelve Days of Christmas”, what gift was given on the twelfth and final day?",Twelve drummers drumming,The Holiday Season,The Holiday Season,,12Days-1.jpg,,
What does the phrase “Auld Lang Syne” actually mean in English?,"“Days gone by”, “old times”, “long ago”, “times long past”, or anything similar. (We’ll also accept “old long since”, which is the literal translation from the Scots.)",Bonus,The Holiday Season,,,,
"To within two years, how old was the oldest person to have ever completed a marathon?","102 (100-104 will be accepted. The runner was Fauja Singh, who is currently 109.)",The Oldest\ldots,The Oldest\ldots,,singh.jpg,,
What is the longest-running TV show that’s still on the air?,\emph{Meet the Press},The Oldest\ldots,The Oldest\ldots,,meetpress.jpg,,
Which planet in our solar system is the oldest?,Jupiter,The Oldest\ldots,The Oldest\ldots,,jupiter.jpg,,
What was the name of the horse that lived to be the oldest horse of all time?,Old Billy / Ol’ Billy / Billy (who died in 1822 at the age of 62),The Oldest\ldots,The Oldest\ldots,,oldbilly.jpg,,
"After Trump and Reagan, which U.S. president was oldest when he took office?",William Henry Harrison (68 years old),The Oldest\ldots,The Oldest\ldots,,wharrison.jpg,,
Who was the oldest actor to win an Academy Award for Best Actor?,"Henry Fonda (age 76, for \emph{On Golden Pond})",The Oldest\ldots,The Oldest\ldots,,fonda.jpg,,
Who is the oldest currently-serving U.S. senator?,"Diane Feinstein (87 years, 159 days as of today)",The Oldest\ldots,The Oldest\ldots,,feinstein.jpg,,
Which species of vertebrate has the longest average lifespan?,"The Greenland shark, with a lifespan of 300-500 years",The Oldest\ldots,The Oldest\ldots,,greenland-shark.jpg,,
"In which country is the oldest continuously-running business, which was founded in 578 AD, located?","Japan (the company is Kong\=o Gumi, a construction company)",The Oldest\ldots,The Oldest\ldots,,kongogumi.jpg,,
"What is the name of the lightbulb that has been burning nearly continuously since 1901, which the Guinness Book of World Records has certified as the longest-lasting bulb in existence?",The Centennial Light / Bulb / Lightbulb,The Oldest\ldots,The Oldest\ldots,,centennialbulb.jpg,,
What is the oldest continuously operated restaurant in the world?,"Sobrino de Botín, Madrid (established in 1725)",Bonus,The Oldest\ldots,,botin.jpg,,
"""Now is the winter of our discontent/Made glorious summer by this sun of York.""",\emph{Richard III},Shakespeare,Shakespeare,,richard3.jpg,,
"“All the world’s a stage,/And all the men and women merely players;/They have their exits and their entrances,/And one man in his time plays many parts.""",\emph{As You Like it},Shakespeare,Shakespeare,,Rosalind.jpg,,
"""All that glisters is not gold.""",\emph{The Merchant of Venice},Shakespeare,Shakespeare,,merchant.jpg,,
"“First thing we do, let's kill all the lawyers”",\emph{Henry VI -.-.- Part 2} (\emph{Henry VI} without \emph{Part 2} is fine),Shakespeare,Shakespeare,,henryvi.jpg,,
"""How sharper than a serpent’s tooth it is to have a thankless child!""",\emph{King Lear},Shakespeare,Shakespeare,,lear.jpg,,
"""We know what we are, but know not what we may be.""",\emph{Hamlet},Shakespeare,Shakespeare,,hamlet.jpg,,
"""The course of true love never did run smooth.""",\emph{A Midsummer Night’s Dream},Shakespeare,Shakespeare,,msnd.jpg,,
"""I am one who loved not wisely but too well.""",\emph{Othello},Shakespeare,Shakespeare,,Othello.jpg,,
"""We are such stuff/As dreams are made on; and our little life/Is rounded with a sleep.""",\emph{The Tempest},Shakespeare,Shakespeare,,tempest.jpg,,
"""From this day to the ending of the world,/But we in it shall be remembered-.-.-/We few, we happy few, we band of brothers.""",\emph{Henry V},Shakespeare,Shakespeare,,henryv.jpg,,
"""Some are born great, some achieve greatness, and some have greatness thrust upon them.""",\emph{Twelfth Night},Bonus,Shakespeare,,twelfthnight.jpg,,
