Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
"On November 30, 1999, which two large companies merged to form what was then the largest company in the world by revenue?","Exxon and Mobil, forming ExxonMobil",Answer Like It’s 1999,Answer Like It’s 1999,,exxonmovil.jpg,,
Which country won the 1999 Women’s FIFA World Cup?,The U.S.,Bonus,Answer Like It’s 1999,,hamm.jpg,,
Which Newark-born rapper and actress’s first album was titled \emph{All Hail the Queen}?,Queen Latifah,“Royals”,“Royals”,,latifah.jpg,,
Which musical artist’s first hit was the song \emph{Sweet Lorraine}?,Nat King Cole,“Royals”,“Royals”,,cole.jpg,,
"Which brand of tobacco formed the basis of a telephone prank whose punchline was “Well, you'd better let him out!”?",Prince Albert / Prince Albert in a Can,“Royals”,“Royals”,,princealbert.jpg,,
"Which shock jock has proclaimed himself “King of All Media"" and, indeed, has trademarked that phrase?",Howard Stern,“Royals”,“Royals”,,stern.jpg,,
Which French-American rock band is best-known for their hit song “Dancing in the Moonlight”?,King Harvest,“Royals”,“Royals”,,kingharvest.jpg,,
What noble title did singer Gene Chandler confer upon himself in a 1960s doo-wop hit song?,Duke of Earl,“Royals”,“Royals”,,dukeofearl.jpg,,
Rogers and Nelson were the middle and last names of which artist who was known by his first name?,Prince,“Royals”,“Royals”,,prince.jpeg,,
"A resident of Yonkers, NY, has filed a suit against which baked goods company because their rolls are not actually made in Hawaii?",King’s Hawaiian,“Royals”,“Royals”,,kingshawaiian.jpeg,,
What was the title of Queen’s first album?,\emph{Queen},“Royals”,“Royals”,,queen.jpg,,
"Which singer-songwriter entered the music scene in 2018 with her hit single “1950” and released her debut studio album, \emph{Cheap Queen}, in 2019?",King Princess,“Royals”,“Royals”,,kingprincess.jpg,,
Who were the two famous piano-playing big band leaders of the 20th century who were known by titles of nobility? (We need both names.),Duke Ellington and Count Basie,Bonus,“Royals”,,ellingtonbasie.jpg,,
"To be, or not to be: that is the question:\\
Whether 'tis nobler in the mind to suffer\\
The slings and arrows of outrageous _,",Fortune,Ham's Solo,Ham's Solo,,,,
"Or to take arms against a sea of troubles,\\
And by opposing end them? To die: to sleep;\\
No more; and by a sleep to say we end\\
The heart-ache and the thousand natural _\\
That flesh is heir to\ldots{}",Shocks,Ham's Solo,Ham's Solo,,,,
"\ldots{}’tis a consummation\\
Devoutly to be wish'd. To die, to sleep;\\
To sleep: perchance to dream: ay, there's the _;",Rub,Ham's Solo,Ham's Solo,,,,
"[Fill in both blanks]\\
For in that sleep of death what dreams may come\\
When we have shuffled off this _ _,\\
Must give us pause: there's the respect",Mortal coil,Ham's Solo,Ham's Solo,,,,
"That makes calamity of so long life;\\
For who would bear the whips and scorns of time,\\
The oppressor's wrong, the proud man's _,",Contumely,Ham's Solo,Ham's Solo,,,,
"The pangs of despised love, the law's delay,\\
The insolence of office and the spurns\\
That patient _ of the unworthy takes,",Merit,Ham's Solo,Ham's Solo,,,,
"[Fill in both blanks]\\
When he himself might his quietus make\\
With a bare _? who would _ bear,\\
To grunt and sweat under a weary life,","Bodkin, fardels",Ham's Solo,Ham's Solo,,,,
"But that the _ of something after death,\\
The undiscover'd country from whose bourn\\
No traveller returns, puzzles the will",Dread,Ham's Solo,Ham's Solo,,,,
"[Fill in both blanks]\\
And makes us rather bear those ills we have\\
Than fly to others that we know not of?\\
Thus _ does make _ of us all;","Conscience, cowards",Ham's Solo,Ham's Solo,,,,
"[Fill in two of the three blanks]\\
And thus the native _ of resolution\\
Is sicklied o'er with the pale _ of thought,\\
And enterprises of great pith and moment\\
With this regard their currents turn awry,\\
And lose the name of _.-.-.-Soft you now!","Hue, cast, action (we only needed two)",Ham's Solo,Ham's Solo,,,,
"[Fill in all three blanks]\\
The fair Ophelia! Nymph, in thy orisons\\
Be all _ _ _.",My sins remember’d (“remembered” without the apostrophe is fine),Bonus,Ham's Solo,,,,
Which British monarch was Virginia named for? (We need the monarch’s name and numeric suffix.),Elizabeth I (the “Virgin Queen”),"The ""Mother of Presidents""","The ""Mother of Presidents""",,qe1.jpg,,
What infamously-uttered  Latin phrase is also the state motto of Virginia?,Sic Semper Tyrannis (spelling is not important as long as you got the pronunciation right) -.-.- the phrase was infamously uttered by John Wilkes Booth as he shot Lincoln.,"The ""Mother of Presidents""","The ""Mother of Presidents""",,sicsemper.jpg,,
What is the name of James Monroe's home outside of Charlottesville?,Highland / Ash Lawn / Ash Lawn-.-Highland ,"The ""Mother of Presidents""","The ""Mother of Presidents""",,highland.jpg,,
Who was the architect of the original part of the University of Virginia?,Thomas Jefferson,"The ""Mother of Presidents""","The ""Mother of Presidents""",,tj.jpg,,
"What river runs through Richmond, Virginia?",The James River,"The ""Mother of Presidents""","The ""Mother of Presidents""",,jamesriver.jpg,,
What is the name of the scenic road that runs the length of Shenandoah National Park?,The Skyline Drive,"The ""Mother of Presidents""","The ""Mother of Presidents""",,skyline.jpg,,
Which town located in Virginia was the site of the first British settlement in the New World?,Jamestown,"The ""Mother of Presidents""","The ""Mother of Presidents""",,jamestown.jpg,,
What song was retired as Virginia's state song in 1997 because it reflected African-American stereotypes?,Carry Me Back to Old Virginny,"The ""Mother of Presidents""","The ""Mother of Presidents""",,virginny.jpg,,
What is the name of the Virginia governor who was the first U.S. African-American governor of the post-Reconstruction era?,Douglas Wilder,"The ""Mother of Presidents""","The ""Mother of Presidents""",,wilder.jpg,,
What was the name of the  first major battle of the Civil War fought in Virginia?,The First Battle of Bull Run / The Battle of First Manassas,"The ""Mother of Presidents""","The ""Mother of Presidents""",,bullrun.jpg,,
How many presidents were born in Virginia (either the colony or the commonwealth)?,"Eight (Washington, Jefferson, Madison, Monroe, Harrison, Taylor, Tyler, Wilson)",Bonus,"The ""Mother of Presidents""",,presidents.jpg,,
"To within half a billion years, how old is planet Earth? In other words, how long ago did most of the material that formed the Earth gather into a sphere?",4.5 billion years (4-.-5 billion years will be accepted),Planet Earth,Planet Earth,,earthold.jpg,,
"What is the technical term for the process by which life arises from non-living materials, which occurred on Earth roughly 4 billion years ago?",Abiogenesis,Planet Earth,Planet Earth,,hydrothermal.jpeg,,
The “Great Oxidation Event” began roughly 2 billion years ago when atmospheric oxygen was produced as a waste product of what biological process?,Photosynthesis,Planet Earth,Planet Earth,,oxidation.jpg,,
The radioactive dating method used to determine the age of the oldest rocks on Earth uses the ratio of which two elements to determine the age of a rock?,Uranium and lead,Planet Earth,Planet Earth,,uranium.jpg,,
Which layer of the atmosphere is responsible for absorbing much of the Sun’s ultraviolet radiation?,"The ozone layer -.-.- we’ll also accept stratosphere, as that’s the larger layer containing the ozone layer",Planet Earth,Planet Earth,,ozone.jpg,,
What was the name of the supercontinent that existed from roughly 300 million years ago to 180 million years ago?,Pangea / Pangaea,Planet Earth,Planet Earth,,pangaea.jpg,,
"What was the ""Chicxulub impactor”, which formed the Chicxulub crater in the Yucatan Peninsula?",The asteroid that wiped out the non-avian dinosaurs (any answer mentioning the extinction of the dinosaurs will be accepted),Planet Earth,Planet Earth,,chicxulub.jpg,,
The dynamo theory proposes a mechanism by which molten metal in the Earth’s center can produce what?,A magnetic field,Planet Earth,Planet Earth,,dynamo.png,,
"The stream of charged particles released from the Sun out into the solar system, known as solar wind, causes what night-sky natural phenomenon on Earth?",Auroras / Polar lights / aurora polaris / Northern lights / aurora borealis / Southern lights / aurora australis,Planet Earth,Planet Earth,,aurora.jpg,,
What is the defining feature of the two lines of latitude known as the Tropic of Cancer and the Tropic of Capricorn?,They are the farthest latitudes from the equator where the Sun can ever be directly overhead. (On the solstices the Sun will be directly overhead the Tropics.),Planet Earth,Planet Earth,,tropics.jpg,,
A shipment of toys that fell off a ship in 1992 and began to wash up on beaches around the world significantly helped oceanographers in mapping out the oceans’ currents. What kind of toys fell overboard?,Rubber ducks / Floating bath toys / Friendly Floatees,Bonus,Planet Earth,,floatees.png,,
\emph{Bonnie and Clyde} (1967),Arthur Penn,Who Directed It?,Who Directed It?,,bonnieclyde.jpg,,
\emph{American Graffiti} (1973),George Lucas,Who Directed It?,Who Directed It?,,georgelucas.jpg,,
\emph{Casablanca} (1942),Michael Curtiz,Who Directed It?,Who Directed It?,,casablanca.jpg,,
\emph{Jurassic Park} (1993),Steven Spielberg,Who Directed It?,Who Directed It?,,jurassic.jpg,,
\emph{F for Fake} (1973),Orson Welles,Who Directed It?,Who Directed It?,,fforfake.jpg,,
\emph{Dr. No} (1962),Terence Young,Who Directed It?,Who Directed It?,,drno.jpg,,
\emph{It Happened One Night} (1934),Frank Capra,Who Directed It?,Who Directed It?,,onenight.jpg,,
\emph{Help!} (1965),Richard Lester,Who Directed It?,Who Directed It?,,help.jpg,,
\emph{Monsieur Verdoux} (1947),Charlie Chaplin,Who Directed It?,Who Directed It?,,verdoux.jpg,,
\emph{Black Panther} (2018),Ryan Coogler,Who Directed It?,Who Directed It?,,coogler.jpg,,
\emph{A Night at the Opera} (1935),Sam Wood,Bonus,Who Directed It?,,nightopera.jpg,,
"What is the name of the organization dedicated to  the protection of marine life, one of whose ships was named the Rainbow Warrior?",Greenpeace,.org,.org,,greenpeace.jpg,,
What is the name of the organization with which Jimmy Carter has long been associated that helps provide people with affordable housing by building and repairing homes?,Habitat for Humanity,.org,.org,,habitat.jpg,,
What is the full name of the organization known as UNICEF?,"United Nations Children’s Fund / United Nations International Children’s Emergency Fund (“International” and “Emergency” were part of the original name, but have since been dropped)",.org,.org,,unicef.jpg,,
Which charitable organization is actually a religion whose adherents have military titles?,The Salvation Army (the religion is the Salvationist religion),.org,.org,,salvation.jpg,,
wish.com is an online e-commerce site. Which organization’s site is wish.org?,Make-a-Wish / The Make-a-Wish Foundation,.org,.org,,makeawish.jpg,,
What organization that is headquartered at New York City's Bronx Zoo works to protect the world's wild places?,The Wildlife Conservation Society,.org,.org,,wcs.jpg,,
"Which foundation founded in 1997 has its offices in New York City and Little Rock, Arkansas?",The Clinton Foundation,.org,.org,,clinton.png,,
What famous U.S. organization is dedicated to keeping your vena cavas and ventricles working properly?,American Heart Association,.org,.org,,americanheart.png,,
Which .org helps you evaluate charities (it might be said to help you chart your course through them)?,Charity Navigator,.org,.org,,navigator.jpg,,
What organization that was founded in the UK in 1919 is dedicated to improving the lives of children?,Save the Children / The Save the Children Fund,.org,.org,,savethechildren.png,,
Which American organization’s motto is “We are their voice”?,The ASPCA (American Society for the Prevention of Cruelty to Animals),Bonus,.org,,aspca.png,,
What scandalous novel's plot revolves around an affair between and lady and a gamekeeper?,\emph{Lady Chatterley's Lover},Scandalous Literature,Scandalous Literature,,chatterly.jpeg,,
"What scandalous novel's action takes place on June 16, 1904?",\emph{Ulysses},Scandalous Literature,Scandalous Literature,,ulysses.jpg,,
What scandalous novel's publication famously led to the issuance of  a fatwah against its author?,\emph{The Satanic Verses},Scandalous Literature,Scandalous Literature,,satanic.jpg,,
The titular character of which scandalous 19th century French novel shares a first name with the titular character of a Jane Austen novel? ,"\emph{Madame Bovary} (Madame Bovary shares her first name, Emma, with Emma Woodhouse of Austen’s novel \emph{Emma})",Scandalous Literature,Scandalous Literature,,bovery.jpg,,
What scandalous 1748 English novel had the alternate title \emph{Memoirs of a Woman of Pleasure}?,\emph{Fanny Hill},Scandalous Literature,Scandalous Literature,,fannyhill.jpg,,
"What American novel was  first published in Paris in 1934 but, because of its scandalous nature, was not published in the U.S. until 1961? ",\emph{Tropic of Cancer},Scandalous Literature,Scandalous Literature,,tropicofcancer.jpg,,
What scandalous novel by the Marquis de Sade had the alternate title \emph{The Misfortunes of Virtue}?,\emph{Justine},Scandalous Literature,Scandalous Literature,,justine.jpg,,
Some in Tennessee sought to have this book banned because it stood in part for the proposition that some witches were good. (We need the full name of the book.),\emph{The Wonderful Wizard of Oz},Scandalous Literature,Scandalous Literature,,woz.jpg,,
"According to the Modern Language Association, what novel was the most banned book in the U.S. during the almost twenty-year period from 1963 to 1982?",\emph{The Catcher in the Rye},Scandalous Literature,Scandalous Literature,,catcherrye.jpg,,
"What 1960s scandalous Irish trilogy of novels was both popular and critically acclaimed in the United States and England but was banned in the author's home country of Ireland? (We only need the name of the trilogy, not the name of each novel.)",\emph{The Country Girls},Scandalous Literature,Scandalous Literature,,countrygirls.jpg,,
"The reaction to what 1975 young adult novel caused its author to say, ""Parents are getting cuckoo”?","\emph{Forever\ldots{}}, by Judy Blume (without the ellipsis is fine)",Bonus,Scandalous Literature,,forever.jpg,,
"Fill in the blanks: In Greek, “philosophy” literally means the _ of _.",The love of knowledge/wisdom,Philosophy and Philosophers,Philosophy and Philosophers,,philosophy.jpeg,,
What is the title of the collection of teachings of Confucius?,The \emph{Analects},Philosophy and Philosophers,Philosophy and Philosophers,,analects.jpg,,
"Put these Ancient Greek philosophers in order from earliest to most recent: Aristotle, Plato, Pythagoras, and Socrates.","Pythagoras, Socrates, Plato, Aristotle",Philosophy and Philosophers,Philosophy and Philosophers,,greeks.jpg,,
What is the name of the  philosopher who wrote \emph{Leviathan}?,Thomas Hobbes,Philosophy and Philosophers,Philosophy and Philosophers,,leviathan.jpeg,,
"Name either of the two Ancient Greek philosophers -.-.- one a teacher and the other his pupil -.-.- credited with first proposing the atomic theory, which states that matter is made of indivisible particles.",Leucippus (teacher) and Democritus (his pupil) (we only needed one),Philosophy and Philosophers,Philosophy and Philosophers,,democritus.jpg,,
What is the name of the philosophical system developed by Ayn Rand?,Objectivisim,Philosophy and Philosophers,Philosophy and Philosophers,,atlas.jpg,,
Who is famous for having said “God is dead. God remains dead. And we have killed him.”?,Friedrich Nietzsche,Philosophy and Philosophers,Philosophy and Philosophers,,nietzsche.jpg,,
What is the name of the philosophy that posits that the only thing whose existence one can be sure of is one’s own mind?,Solipsism,Philosophy and Philosophers,Philosophy and Philosophers,,solipsism.png,,
"Which philosopher founded the doctrine of “transcendental idealism”, which posits that only our observations of reality, but not reality itself, are cognizable?",Immanuel Kant,Philosophy and Philosophers,Philosophy and Philosophers,,kant.jpg,,
Which 19th Century American philosopher was a leader of the transcendentalist movement and championed individualism?,Ralph Waldo Emerson,Philosophy and Philosophers,Philosophy and Philosophers,,emerson.jpg,,
Which lawyer-cum-social philosopher wrote a satirical book about a fictional island whose name literally means “nowhere” in Greek? (The name of the island has since come to mean something else in English.),Sir Thomas More (in his book \emph{Utopia}),Bonus,Philosophy and Philosophers,,morefrick.jpg,,
