Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
Name any one of the three  cities in the world that have hosted the Winter Olympics twice.,"Lake Placid, NY, Innsbruck, Austria, and  St. Moritz, Switzerland (you only needed one)",Winter Sports,Winter Sports,,placid.jpg,,
"To within two, how many rounds was the longest shootout in NHL history?",Twenty (18-.-22 will be accepted),Winter Sports,Winter Sports,,shootout.jpg,,
"Which saint, who spent four decades doing missionary work in the Alps, is the patron saint of skiing, snowboarding, and mountaineering?",St. Bernard,Winter Sports,Winter Sports,,stbernard.jpg,,
"In doubles luge, how do the two teammates lie on the luge? We need: whether they lie face up or face down, feet first or head first, and how the two athletes are positioned relative to each other.","On their backs, feet first, and one on top of the other",Winter Sports,Winter Sports,,luge.jpg,,
The French \emph{marche} became which English word that is used as a command in a winter sport?,Mush! (used in dog sledding),Winter Sports,Winter Sports,,dogsled.jpg,,
"In curling, what is the name of the central circle -.-.- curling’s equivalent of the bullseye -.-.- that competitors try to get their stones near?","The button (we’ll also accept “pin” and “tee”, although they’re technically the center of that circle)",Winter Sports,Winter Sports,,curling.jpg,,
"Which country was the big winner of the first Winter Olympics, winning at least as many gold, silver, and bronze medals as every other country?","Norway (four gold, seven silver, and six bronze)",Bonus,Winter Sports,,norway.jpg,,
"In \emph{Monopoly}, what is the other half of the property group that contains Park Place?",Boardwalk,Board Games,Board Games,,boardwalk.jpg,,
In which board game is the winner the first player to \emph{bear off}?,Backgammon,Board Games,Board Games,,backgammon.jpg,,
How many rooms are there in the game \emph{Clue}? (Don’t count the hallways or the staircase.),Nine,Board Games,Board Games,,clueboard.jpg,,
"Which board game’s tagline is “Trade, build, settle”?",\emph{Settlers of Catan} / \emph{Settlers} / \emph{Catan},Board Games,Board Games,,catan.jpg,,
What was the name of the first artificial intelligence to defeat a professional Go player without a handicap?,AlphaGo,Board Games,Board Games,,alphago.jpg,,
"On \emph{Seinfeld}, what board game were Kramer and Newman playing on the subway when Kramer said, “The Ukraine is weak”?",\emph{Risk},Board Games,Board Games,,ukraine.jpg,,
Which board game is pictured here?,\emph{Trivial Pursuit},Board Games,Board Games,trivialpursuit.jpg,,,
"In standard chess notation, what does O-.-O-.-O denote?",A queenside castle,Board Games,Board Games,,queenside.png,,
"Which children’s board game was invented in 1948 by a polio patient and was first played by other patients in the polio ward, who suggested that the inventor submit the game to the Milton Bradley Company?",\emph{Candy Land},Board Games,Board Games,,candyland.jpg,,
"To within five years, in what year was the Milton Bradley Company founded?",1860 (1855-1865 will be accepted),Board Games,Board Games,,bradley.jpg,,
"In Scrabble, how many points would the word SCRABBLE be worth? (Assume no multipliers.)",14 (C and the two B’s are worth 3 points each; every other letter is worth 1 point),Bonus,Board Games,,scrabble.jpg,,
"In the famous photo shown here, which newspaper is Truman holding up?",\emph{The Chicago Tribune},Newspapers and Magazines,Newspapers and Magazines,DeweyTruman.jpg,,,
Which newspaper's slogan is “All the News That’s Fit to Print”?,\emph{The New York Times},Newspapers and Magazines,Newspapers and Magazines,,,,
"What is the name of \emph{The New Yorker}’s mascot, pictured here, who is often seen peering at a butterfly through a monocle?",Eustace Tilley,Newspapers and Magazines,Newspapers and Magazines,eusticetilley.jpg,,,
"In a newspaper, what is the term for the line of text containing the name of an article’s author?",The byline,Newspapers and Magazines,Newspapers and Magazines,,,,
"Which publication is known in part for its satirical and exaggerated cartoons, such as the one pictured here, that poke fun at the very nature of commentary cartoons?",\emph{The Onion},Newspapers and Magazines,Newspapers and Magazines,onioncartoon.jpg,,,
What is the name of the feature on the inside of the back cover of nearly every issue of \emph{Mad} magazine since 1964?,The Fold-In,Newspapers and Magazines,Newspapers and Magazines,,foldin.png,,
Name either of the two Canadian newspapers that are nearly tied for being the most widely circulated newspaper in Canada.,\emph{The Globe and Mail} and the \emph{Toronto Star} (you only needed one),Newspapers and Magazines,Newspapers and Magazines,,canadianpaper.JPG,,
"On which magazine's February 1982 cover were the pyramids of Giza altered, resulting in the first major scandal of the digital photography age?",\emph{National Geographic},Newspapers and Magazines,Newspapers and Magazines,,pyramid.jpg,,
What is “op-ed” short for?,“Opposite the editorial page” (\emph{not} opinions and editorials),Newspapers and Magazines,Newspapers and Magazines,,oped.jpg,,
"Around the turn of the 20th century, competition for readership between the newspapers the \emph{New York Journal} and the \emph{New York World} was fierce. Name the publisher of either newspaper.","William Randolph Hearst and Joseph Pulitzer (the \emph{Journal} and the \emph{World}, respectively; we only needed one)",Newspapers and Magazines,Newspapers and Magazines,,yellowjournalism.jpg,,
"In 1927, who became the very first \emph{Time} Person of the Year?",Charles Lindbergh,Bonus,Newspapers and Magazines,,lindberghtimepoty.jpg,,
"In the context of hardware (non-computer), what is a \emph{peen}?","The side of a hammer’s head opposite the face (e.g., the ball on a ball-peen hammer)",Specialized Words II,Specialized Words II,,ballpeenhammer.jpg,,
"In mathematics, what is a lemma?","A smaller theorem used to prove a larger result, or an “auxiliary theorem”",Specialized Words II,Specialized Words II,,zorn.jpg,,
What is an aglet?,The metal or plastic tube fixed tightly around each end of a shoelace,Specialized Words II,Specialized Words II,,aglet.jpg,,
"In math and physics, what is the term for the direction perpendicular to a given surface?",The normal,Specialized Words II,Specialized Words II,,normal.jpg,,
Here’s a topical one: what are fomites (pronounced “foam-mitt-tees”)?,Surfaces that are likely to spread disease via contact,Specialized Words II,Specialized Words II,,fomite.jpg,,
The ocular impairment “amblyopia” is better known by what colloquial name?,Lazy eye,Specialized Words II,Specialized Words II,,lazyeye.jpg,,
What is “odontophobia” the fear of?,Dentists and/or dental procedures,Specialized Words II,Specialized Words II,,odontofobia.jpg,,
What is a cheval mirror?,A full-length mirror on a hinge,Specialized Words II,Specialized Words II,,cheval.jpg,,
Which part of a horse does the \emph{withers} refer to?,The highest part of its back / the base of the neck / above the shoulders / just below the mane,Specialized Words II,Specialized Words II,,Withers.jpg,,
"In baseball, what is a \emph{battery}? ",A pitcher-catcher pair / the pitcher and catcher collectively,Specialized Words II,Specialized Words II,,marianojorge.jpeg,,
"In architecture, what is a \emph{mullion}, which can be found in some, but not all, windows?","A vertical structure that divides a window, often used for additional strength (especially between the window’s panes)",Bonus,Specialized Words II,,mullion.jpg,,
What is the name of Popeye’s nemesis?,Bluto or Brutus,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,Blutowindow.jpg,,
"In \emph{Dilbert}, what is the name of Dilbert’s pet dog?",Dogbert,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,dogbert.png,,
What Irish immigrant kid from New York's tenements was one of the first comic strip characters to appear in the color Sunday comics?,The Yellow Kid,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,yellowkid.jpg,,
What 19th Century  political cartoonist is generally credited with having produced the first modern image of the American Santa Claus?,Thomas Nast,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,santanast.jpg,,
What is the name of Charlie Brown's little sister?,Sally,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,charliebrown.jpg,,
"What comic strip character put a spin on Admiral Perry's famous report that ""We have met the enemy and he is ours?""","Pogo (""We have met the enemy and he is us."")",Cartoons and the Funny Pages,Cartoons and the Funny Pages,,pogo.jpg,,
Which comic strip about an African-American family became so popular that it was made into a TV show on Adult Swim?,\emph{The Boondocks},Cartoons and the Funny Pages,Cartoons and the Funny Pages,,boondocks.jpg,,
What square-jawed police detective used a two-way wrist radio?,Dick Tracy,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,dicktracy.jpg,,
What comic strip character's heart was full of unrequited love for Ignatz Mouse? (Spelling counts.),Krazy Kat,Cartoons and the Funny Pages,Cartoons and the Funny Pages,,krazykat.jpg,,
Who authored the cartoon shown here?,Rube Goldberg,Cartoons and the Funny Pages,Cartoons and the Funny Pages,HairCutReminder.jpg,,,
What is the last line of the last \emph{Calvin and Hobbes} strip ever published?,“\ldots{}Let’s go exploring!” (punctuation doesn’t matter),Bonus,Cartoons and the Funny Pages,,calvinhobbes.jpeg,,
\emph{L’Étranger},\emph{The Stranger} (Camus),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,letranger.jpg,,
\emph{Im Westen nichts Neues},\emph{All Quiet on the Western Front} (Remarque),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,allquiet.jpg,,
\emph{孙子兵法} (S\=unzi b\={\i}ngf\v a),\emph{The Art of War} (by Sun Tzu),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,artofwar.jpg,,
\emph{`\textIota\textlambda\textiota\textalpha\textvarsigma{}},\emph{The Iliad} (Homer (maybe)),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,iliad.jpg,,
\emph{Nesnesitelná lehkost bytí} (Czech),\emph{The Unbearable Lightness of Being} (Kundera),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,lightness.jpeg,,
\emph{À la recherche du temps perdu},\emph{In Search of Lost Time} /  \emph{Remembrance of Things Past} (Proust),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,searchoflosttime.jpg,,
\emph{Les Faux-monnayeurs},\emph{The Counterfeiters} (Gide),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,counterfeiters.jpg,,
\emph{Der Proce{\ss}},\emph{The Trial} (Franz Kafka),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,thetrial.jpg,,
\emph{La condition humaine},\emph{Man’s Fate} / \emph{Storm in Shanghai} / \emph{Man's Estate} (Malraux),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,mansfate.jpg,,
\emph{Sei personaggi in cerca d’autore},\emph{Six Characters in Search of an Author} (Pirandello),Famous Foreign-Language Literary Works,Famous Foreign-Language Literary Works,,sixcharacters.jpg,,
\emph{Kinder-und Hausmärchen},\emph{Grimms' Fairy Tales} / \emph{Children’s and Household (Fairy) Tales} (Jacob and Wilhelm Grimm),Bonus,Famous Foreign-Language Literary Works,,grimm.jpg,,
What caused the Australian state of New South Wales to declare an emergency in January?,Wildfires,Other Things that Happened in 2020,Other Things that Happened in 2020,,wildfire.jpg,,
Which British royals decided to step away from the royal family?,The Duke and Duchess of Sussex -.-.- Harry and Meghan,Other Things that Happened in 2020,Other Things that Happened in 2020,,markle.jpg,,
"On which website were the accounts of Barack Obama, Elon Musk, Bill Gates, and several other prominent people hacked in order to share Bitcoin scams?",Twitter,Other Things that Happened in 2020,Other Things that Happened in 2020,,twitterhack.jpg,,
What port city suffered a devastating explosion on August 4th?,Beirut,Other Things that Happened in 2020,Other Things that Happened in 2020,,beirut.jpg,,
The price of what commodity briefly dropped below \$0 in April of this year? (Suppliers were paying people to take it off their hands.),(Crude) oil,Other Things that Happened in 2020,Other Things that Happened in 2020,,oilneg.png,,
Which country -.-.- in an environmentally sensitive but perhaps ill-timed gesture -.-.- made public transportation free in February?,Luxembourg,Other Things that Happened in 2020,Other Things that Happened in 2020,,luxembourg.jpg,,
"In May, which country became the first Central American country to legalize same-sex marriage?",Costa Rica,Other Things that Happened in 2020,Other Things that Happened in 2020,,costarica.jpg,,
Which film swept the Academy Awards?,\emph{Parasite},Other Things that Happened in 2020,Other Things that Happened in 2020,,parasite.jpg,,
"This Asian head of state disappeared for while, leading to speculation that he was gravely ill or had died.",Kim Jong-un,Other Things that Happened in 2020,Other Things that Happened in 2020,,kim.jpg,,
Which rock guitarist -.-.- the leader of his eponymous band -.-.- died on October 6\textsuperscript{th}?,Eddie Van Halen,Other Things that Happened in 2020,Other Things that Happened in 2020,,vanhalen.jpg,,
Which country joined NATO this year?,North Macedonia / Macedonia,Bonus,Other Things that Happened in 2020,,macedonia.JPG,,
