Question,Answer,Section,Topic,Question Image,Answer Image,,
"In the equation \(E=mc^2\), what does \(c\) represent?",The speed of light,Science,Science,,,,
"In addition to the platypus, what is the only other species of mammal that lays eggs?",Echnida or spiny anteater,Plants and animals,Plants and animals,,echidna.jpg,,
Members of which primate family have the longest arms relative to the size of their bodies?,Gibbons,Plants and animals,Plants and animals,,gibbon.jpg,,
What species of tree is this leaf from?,Ginkgo (Biloba),Plants and animals,Plants and animals,gingko.jpg,gingko.jpg,,
Name the three body sections that all insects’ bodies are divided into.,"Head, thorax, abdomen",Plants and animals,Plants and animals,,insect.jpg,,
A “parliament” is the collective noun for what animal?,Owls,Plants and animals,Plants and animals,,owls.jpg,,
What is the fastest animal species in the world? (Hint: it’s not the cheetah.),Peregrine falcon (240 mph),Plants and animals,Plants and animals,,peregrine.jpeg,,
The tallest tree in the world belongs to what species?,Redwood (\emph{Sequoia sempervirens}). The specific tree’s name is Hyperion.,Plants and animals,Plants and animals,,hyperion.jpg,,
What kind of animal produces gossamer?,Spiders,Plants and animals,Plants and animals,,gossamer.jpg,,
How many hearts does an octopus have?,Three,Plants and animals,Plants and animals,,octopus.jpg,,
The bark of which tree species is used to produce aspirin?,Willow tree,Plants and animals,Plants and animals,,willow.jpg,,
Which president has an institute at Stanford University named after him?,Herbert Hoover,Presidents,Presidents,,hooverinst.jpg,,
"In which speech did Lincoln say, “With malice toward none, with charity for all, with firmness in the right as God gives us to see the right, let us strive on to finish the work we are in\ldots{}.”?",His Second Inaugural Address,Presidents,Presidents,,lincoln.jpeg,,
Which president immediately preceded Lincoln?,James Buchanan,Presidents,Presidents,,buchanan.jpg,,
The capital of Liberia is named after which president?,James Monroe (Monrovia),Presidents,Presidents,,monrovia.jpg,,
Which president proposed an “Alliance for Progress” with Latin America?,John F. Kennedy,Presidents,Presidents,,jfks-alliance-for-progress.jpg,,
What does the “S” in Harry S. Truman’s name stand for?,Nothing — he did not have a middle name,Presidents,Presidents,truman.png,,,
Who was the youngest president to assume the presidency?,"Teddy Roosevelt (42 years, 322 days)",Presidents,Presidents,,tr.png,,
How many justices did President Obama appoint to the Supreme Court?,Two: Sonia Sotomayor and Elena Kagan,Presidents,Presidents,,justices.jpg,,
Who was the only U.S. President to also serve as Chief Justice of the Supreme Court? ,William Howard Taft,Presidents,Presidents,,taft.jpg,,
Which president proposed the League of Nations?,Woodrow Wilson,Presidents,Presidents,,wilson.jpg,,
How many children does Dr.\ Fauci have?,3,Anthony Fauci,Anthony Fauci,,faucichildren.jpg,,
How old is Dr.\ Fauci?,79,Anthony Fauci,Anthony Fauci,,fauciage.jpg,,
"In high school, Dr.\ Fauci was captain of a team in which sport?",Basketball,Anthony Fauci,Anthony Fauci,,faucibasketball.jpg,,
In which New York City borough was Dr.\ Fauci born?,Brooklyn,Anthony Fauci,Anthony Fauci,,faucichild.jpg,,
What medical school did Dr.\ Fauci attend?,Cornell,Anthony Fauci,Anthony Fauci,,faucicornell.jpg,,
What college did Dr.\ Fauci attend?,Holy Cross,Anthony Fauci,Anthony Fauci,,holycross.png,,
What high school did Dr.\ Fauci attend?,Regis,Anthony Fauci,Anthony Fauci,,regis.jpeg,,
What is Dr.\ Anthony S. Fauci’s middle name?,Stephen,Anthony Fauci,Anthony Fauci,,,,
What is Dr.\ Facui’s favorite novel?,The Godfather,Anthony Fauci,Anthony Fauci,,faucigodfather.jpg,,
What high honor did Dr.\ Fauci receive in 2008?,The Medal of Freedom,Anthony Fauci,Anthony Fauci,,faucimof.jpeg,,
Name the painter.,Claude Monet (\emph{Rouen Cathedral}),Paintings,Paintings,monet.jpg,monet.jpg,,
Name the painter.,David Hockney (\emph{A Bigger Splash}),Paintings,Paintings,hockney.jpg,hockney.jpg,,
Name the painter.,Diego Velasquez (\emph{Las Meninas}),Paintings,Paintings,velasquez.jpg,velasquez.jpg,,
Name the painter.,Frederic Edwin Church (\emph{Niagara}),Paintings,Paintings,churchniagara.jpg,churchniagara.jpg,,
Name the painter.,Giotto (\emph{The Death of St.\ Francis}),Paintings,Paintings,giotto.jpg,giotto.jpg,,
Name the painter.,Jacob Lawrence (from the \emph{Great Migration} series),Paintings,Paintings,jacoblawrence.jpg,jacoblawrence.jpg,,
Name the painter.,Joaquin Sorolla (\emph{Walk on the Beach}),Paintings,Paintings,sorolla.jpg,sorolla.jpg,,
Name the painter.,Grant Wood (\emph{American Gothic} — updated),Paintings,Paintings,american-gothic.jpg,american-gothic.jpg,,
Name the painter.,Pablo Picasso (\emph{Guernica}),Paintings,Paintings,guernica.jpg,guernica.jpg,,
Name the painter.,Mark Rothko (\emph{White Over Red}),Paintings,Paintings,rothko.jpg,rothko.jpg,,
In which city in India is this landmark located?,Agra,World landmarks,World landmarks,tajmahal.jpg,tajmahal.jpg,,
Which temple complex is pictured here?,Angkor Wat,World landmarks,World landmarks,angkor.jpg,angkor.jpg,,
Which cathedral is pictured here?,Chartres,World landmarks,World landmarks,chartres.jpg,chartres.jpg,,
In which city is this cathedral located?,Florence,World landmarks,World landmarks,duomo.jpg,duomo.jpg,,
Which Hollywood landmark is pictured here?,Grauman’s Chinese Theatre,World landmarks,World landmarks,grauman.jpg,grauman.jpg,,
Which citadel is pictured here?,Machu Picchu,World landmarks,World landmarks,machupicchu.jpg,machupicchu.jpg,,
In which city is this plaza located?,Madrid (Plaza Mayor),World landmarks,World landmarks,plazamayor.jpg,plazamayor.jpg,,
Which monument is pictured here?,Petra,World landmarks,World landmarks,petra.jpg,petra.jpg,,
In which city is this tower located?,Shanghai (Oriental Pearl Tower),World landmarks,World landmarks,pearltower.jpeg,pearltower.jpeg,,
What is the name of the Italian landmark pictured here?,The Column of Trajan,World landmarks,World landmarks,trajan.jpg,trajan.jpg,,
Canada is the world’s largest exporter of what fruit?,Blueberries,Canada,Canada,,blueberry-cultivation-in-himachal.jpg,,
Which Canadian city is home to North America’s largest shopping mall?,"Edmonton, Alberta (The West Edmonton Mall)",Canada,Canada,,West-Edmonton-Mall-33924.jpg,,
"Not including the stem, how many points are on the maple leaf on Canada’s flag?",Eleven,Canada,Canada,,canada.png,,
What is Canada’s national sport?,Lacrosse,Canada,Canada,,lacrosse.jpg,,
Which city in Canada has the most restaurants per capita?,Montreal,Canada,Canada,,Montreal-Canada.jpg,,
What is the name of the highest peak in Canada?,"Mount Logan (5,959 meters)",Canada,Canada,,logan.jpg,,
Cirque du Soleil originated in which Canadian province?,Quebec,Canada,Canada,,cirque.jpeg,,
How many time zones does Canada have?,Six,Canada,Canada,,canadatimezones.png,,
What is Canada's oldest city?,"St.\ John’s, Newfoundland (Founded June 24, 1497)",Canada,Canada,,stjohns.jpeg,,
Which famous Canadian restaurant chain opened in Hamilton in 1964?,Tim Horton’s,Canada,Canada,,th.jpg,,
What was NFL quarterback Joe Namath’s nickname?,“Broadway Joe”,Bonus,Sports,namath.jpg,namathfur.jpeg,,
What were the first and last (maiden) names of Shakespeare’s wife?,Anne Hathaway,Bonus,Plays and playwrights,hathaway.jpeg,,,
Which female American photographer took this photo?,Diane Arbus,Bonus,Famous American Women,arbus.jpg,arbus.jpg,,
Which Canadian author wrote \emph{Anne of Green Gables}?,Lucy Maud Montgomery,Bonus,Canada,,,,
Which artist painted this self portrait?,Michelangelo,Bonus,Paintings,michelangelo.jpg,michelangelo.jpg,,
What organization does Dr.\ Fauci head?,National Institute of Allergy and Infectious Diseases (NIAID) ,Bonus,Anthony Fauci,,fauciorg.jpg,,
"What is the name of the sub-branch of ornithology that focuses on birds’ eggs, nests, and mating behavior?",Oology,Bonus,Plants and animals,,oology.jpg,,
Heisenberg’s Uncertainty Principle states that which two quantities of a particle cannot simultaneously be known to arbitrary precision?,Position and momentum,Bonus,Science,,uncertaintyxkcd.png,,
Which president established the first national park?,Ulysses S. Grant (Yellowstone),Bonus,Presidents,,grant.jpeg,,
"The engineer who designed the Eiffel Tower also designed part of a famous structure in the U.S. 
\begin{enumerate}
\item What is the structure?
\item What part did he design?
\item To within five years, what year was the structure dedicated?
\end{enumerate}
One point per correct answer for up to three points total.","\begin{enumerate}
\item The Statue of Liberty
\item The frame/structure
\item 1886 (1881-1891 will be accepted)
\end{enumerate}",Bonus,World landmarks,,,,
