Question,Answer,Section,Topic,Question Image,Answer Image,Image Archive,
"!Hey man, I'm surrounded by a swarm of our state insects.
!Yo dude that doesn't sound too sweet.
!Um, it sort of is, because our state insect is the ** (sometimes also spelled *).",Honey bee / honeybee,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,honeybee.jpg,
"!Hey man, I'm hanging out in that SD town where Wyatt Earp, Calamity Jane, and Wild Bill Hickok used to hang out.
!You mean that place where the entire town has been designated as a National Historic Landmark District?
!Yup, I'm in *.",Deadwood,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,deadwood.jpg,
"!OMG I was like so excited because my parents said that we were going to spend two weeks in the big city.
!OMG like NYC, LA, Chicago?
!OMG like noooooo -.-.- they meant the biggest city in SD by population!
!OMG so like you'll be spending two weeks in **.",Sioux Falls,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,siouxfalls.jpg,
"!The one here in SD started in 1848, right?
!No, you're thinking of the one in California.  The ** in SD started in 1874.",Gold Rush,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,goldrush.jpg,
"!Hey do you think that our state nickname is a little obvious? 
!Yeah, I'd say that “The ** State” is a little obvious.",Mount Rushmore,Bonus,All the Cool Kids are Texting about South Dakota,,,rushmore.jpg,
Name the pastry.,Zeppole (Italy),Pastries,Pastries,zeppole.jpg,,,
Name the pastry.,Canelé (France),Pastries,Pastries,canele.jpg,,,
Name the pastry.,Pastel de Nata / Pastiche de Belém (Portugal),Pastries,Pastries,pasteldenata.jpg,,,
Name the pastry.,Pain au chocolat (France),Pastries,Pastries,painauchocolat.jpg,,,
Name the pastry.,Gulab jamun (India and surrounding countries),Pastries,Pastries,gulabjamun.jpg,,,
Name the pastry.,Sfogliatella (Italy) or “swigadell” (Little Italy),Pastries,Pastries,sfogliatella.jpg,,,
Name the pastry.,Mille feuille (France),Pastries,Pastries,millefeuille.jpg,,,
Name the pastry.,Profiterole (France),Pastries,Pastries,profiterole.jpg,,,
Name the pastry.,Moon cake (China),Pastries,Pastries,mooncake.jpg,,,
Name the pastry.,Baklava (Turkey),Pastries,Pastries,baklava.jpg,,,
Name the pastry.,Cronut (U.S.A.),Bonus,Pastries,cronut.jpg,,,
Which European discovered the Mississippi River?,Hernando de Soto,Explorers,Explorers,,desoto.jpeg,,
Who was the first explorer to captain a ship that circumnavigated the globe and live to tell the tale?,Sir Francis Drake,Explorers,Explorers,,drake.jpg,,
Which explorer led the first European expedition to Florida and is famous for (apocryphally) searching for the Fountain of Youth?,Juan Ponce de León,Explorers,Explorers,,leon.jpg,,
"Which explorer, who has a river named after him, was the first European to travel all the way across Canada, from its east coast to its west coast?",Sir Alexander MacKenzie,Explorers,Explorers,,mackenzie.jpg,,
Who was the first European to reach India by sea?,Vasco de Gama,Explorers,Explorers,,gama.jpg,,
"This British explorer, who led an expedition to reach the South Pole, must have been disappointed to see the Norwegian flag flying when he got there -.-.- they had beaten him by five weeks. Who was the British explorer?",Robert Scott,Explorers,Explorers,,robertscott.jpg,,
Who is believed to be the very first European to have set foot in North America?,Leif Erikson,Explorers,Explorers,,leif.jpg,,
"Which French explorer and researcher is known for exploring the sea and invented the \emph{Aqua-Lung}, one of the first SCUBA devices?",Jacques Cousteau,Explorers,Explorers,,cousteau.jpg,,
What was the name of the ship that Earnest Shackleton abandoned in Antarctica after it was crushed by sea ice? (His whole crew made it back home with only minor injuries.),\emph{Endurance},Explorers,Explorers,,shackleton.jpg,,
"What kind of mammal was the first to be launched into outer space? (Sadly, he did not make it back.)",A monkey,Explorers,Explorers,,rhesus.jpg,,
"What was the name of the sherpa who, together with Edmund Hillary, was one of the first two people to reach Mount Everest’s summit?",Tenzing Norgay,Bonus,Explorers,,norgay.jpeg,,
"Testifying before a Senate committee, what gangster said, “No proof linking me to any criminal conspiracy, whether it is called ‘Mafia’ or ‘Cosa Nostra’ or whatever other name you wish to give,  has ever been made public”?",Michael Corleone,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,corleone.jpeg,,
"We all know that Vito Corleone, a/k/a Don Corleone, a/k/a the Godfather was just an honest merchant trying to bring healthful eating to his adopted country by importing olive oil from his native land.  What was the name of his olive oil company?",Genco,Bonus,Gangsters in Fact and Fiction,,genco.jpg,,
"What was the name of the movie in which the gangster’s final words were the rhetorical question “Mother of mercy, is this the end of Rico?”",\emph{Little Caesar} (not the “Pizza Pizza” one),Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,littlecaesar.jpg,,
"A gangster went to Umberto’s Clam House in NYC's Little Italy on April 7, 1972 and found not spaghetti alle vongole but death on the menu.  Who was he?",Crazy Joe Gallo,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,crazyjoe.jpg,,
"Dining out never seems to go well for gangsters. Which gangster proved on December 16, 1985 that New York City steaks are to die for ?","Paul Castellano, killed in front of Sparks Steak House",Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,castellano.jpg,,
Which gangster said “Say hello to my little friend?”,Scarface / Tony Montana (Al Pacino version),Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,scarface.jpg,,
"Which gangster was killed by authorities as he left the Biograph Theater in Chicago on July 22, 1934?",John Dillinger,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,biograph.jpg,dillinger.jpg,,
"In \emph{Goodfellas}, this gangster ended up in the witness protection program.",Henry Hill,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,hill.jpg,,
"In \emph{Godfather II}, the character of Hyman Roth is based on which real life gangster? ",Meyer Lansky,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,lanksy.jpg,,
"This gangster, known as “the Brain”, is believed to have been involved in fixing the 1919 World Series.",Arnold Rothstein,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,rothstein.jpeg,,
"This gangster, who controlled Chicago crime during Prohibition, was ultimately sent to jail for tax evasion.",Al Capone,Gangsters in Fact and Fiction,Gangsters in Fact and Fiction,,capone.jpg,,
