Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
Which of King Arthur’s knights battled the Green Knight?,(Sir) Gawain,Myths and Legends,Myths and Legends,,gawain.jpg,,
"According to Greek mythology, the very first human woman, having been adorned with gifts by the gods, was given a name that was the Greek word for “all-gifted.” What was her name?",Pandora,Myths and Legends,Myths and Legends,,pandora.jpg,,
What is the name of Paul Bunyan’s ox companion?,Babe (the blue ox),Myths and Legends,Myths and Legends,,bunyan.jpg,,
The software feature that shows the path you've taken to arrive at a page on the web or in a document is named after something in \emph{Hansel and Gretel}.  What is the name of the software feature? ,Breadcrumbs,Myths and Legends,Myths and Legends,breadcrumbs.png,hanselgretel.jpg,,
"In Jewish mythology, what is the term for a humanoid formed from clay who acts mindlessly at its creator’s bidding?",Golem,Myths and Legends,Myths and Legends,,golem.jpg,,
"In Chinese mythology, which auspicious beings are believed to control water and are responsible for water-related weather phenomena?",Dragons,Myths and Legends,Myths and Legends,,dragon.jpg,,
Which epic poem is the oldest surviving work of literature (as opposed to a religious text)?,\emph{The Epic of Gilgamesh},Bonus,Myths and Legends,,gilgamesh.jpg,,
Which city in England are the Beatles from?,Liverpool,The Beatles,The Beatles,,beatles.jpg,,
Give Ringo Starr’s first  and last birth names.,Richard Starkey,The Beatles,The Beatles,,ringo.jpg,,
"Before Ringo, the Beatles had had a different drummer. What was his name?",Pete Best,The Beatles,The Beatles,,bestofthebeatles.jpg,,
In which year did the Beatles first appear on the Ed Sullivan show?,1964,The Beatles,The Beatles,,edsullivan.jpg,,
What was the name of the Beatles’ manager who was often referred to as the “fifth Beatle” and whose death in 1967 is cited as a major cause of the Beatles' disbanding?,Brian Epstein,The Beatles,The Beatles,,epstein.jpg,,
Which Beatles song on the album \emph{With the Beatles} was a cover of a song from the musical \emph{The Music Man}?,‘Till There Was You,The Beatles,The Beatles,,withthebeatles.jpg,,
What was the title of the Beatles’ first film?,\emph{A Hard Day’s Night} (1964),The Beatles,The Beatles,,harddaysnight.jpg,,
"In the song “Lovely Rita”, what job does Rita have?",Meter maid,The Beatles,The Beatles,,lovelyrita.jpg,,
At which venue did the Beatles perform their first concert in the U.S.?,The Washington Coliseum,The Beatles,The Beatles,,coliseum.jpg,,
"On April 4, 1964, the Beatles set a record by occupying all five of the top five spots of the U.S. Billboard Hot 100. Name any two of their songs that were in the top five on that day.","Any two of these: “Can’t Buy Me Love”, “Twist and Shout”, “She Loves You”, “I Want to Hold Your Hand”, “Please Please Me”",The Beatles,The Beatles,,billboard.jpeg,,
"From front to back (right to left), in what order do the four Beatles appear on the cover of Abbey Road?","John Lennon, Ringo Starr, Paul McCartney, George Harrison",Bonus,The Beatles,,abbeyroad.jpg,,
Potoooooooo was a famous 18th century racehorse who won 30 races and defeated many of the best horses of his day. His name has the same pronunciation as a common English word. How is his name pronounced?,Potatoes (Pot-8-Os),Horse Racing,Horse Racing,,potoooooooos.jpg,,
Which horse most recently won the Triple Crown?,"Justify, 2018",Horse Racing,Horse Racing,,justify.jpg,,
"In the 1970s, two horses whose names began with ""S"" won the Triple Crown.  Name them both.",Secretariat and Seattle Slew,Bonus,Horse Racing,,secretariat.jpg,,
What is the name of the first horse to win the Triple Crown?,"Sir Barton, 1919",Horse Racing,Horse Racing,,sirbarton.jpg,,
What are the names of the races that make up the Triple Crown? We need all three.,"The Kentucky Derby, the Preakness Stakes and the Belmont Stakes (Preakness and Belmont without ""Stakes"" is fine)",Horse Racing,Horse Racing,,triplecrown.jpg,,
Which sire is responsible for the most horses in the U.S. Racing Hall of Fame?,Bull Lea,Horse Racing,Horse Racing,,bulllea.jpg,,
Who is the only female jockey to win a Triple Crown race?,"Julie Krone, who won the 1993 Belmont Stakes on Colonial Affair

",Horse Racing,Horse Racing,,krone.jpg,,
What is the name of the horse farm in Lexington Kentucky that has produced more winners of Triple Crown races than any other horse farm?,"Calumet Farm, which has produced 18 winners of Triple Crown races",Horse Racing,Horse Racing,,calumet.JPG,,
"What is the name of the underdog horse who surprisingly beat Triple Crown winner War Admiral in a race held on November 1, 1938?",Seabiscuit,Horse Racing,Horse Racing,,seabiscuit.jpg,,
"What is the name of the musician who had a novelty hit about a horse race featuring a racing announcer announcing that, “Cabbage is second by a head”, “It's Mother-In-Law nagging in the rear”, and “Banana is coming up through the bunch?”",Spike Jones,Horse Racing,Horse Racing,,spikejones.jpg,,
"What is the name of the first filly to run in all three Triple Crown races?
","Genuine Risk. In 1980, she won the Kentucky Derby and placed in both the Preakness and Belmont Stakes.",Horse Racing,Horse Racing,,genuinerisk.jpeg,,
What dog breed has the same name as a Mexican state?,Chihuahua,"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,sombrero.jpg,,
Mexico City was built on the site of which former Aztec city?,Tenochtitlán,"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,tenochtitlan.jpg,,
What colors are the three stripes on the Mexican flag?,"Green, white and red","Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,maxicanflag.png,,
"To within 500 feet, what is the elevation of Mexico City?","7,382 feet above sea level (give yourself a point if you said anything between 6,882 and 7,882 feet)","Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,mexcity.jpg,,
"In 1910, under the leadership of Emiliano Zapata and Pancho Villa, Mexican peasants revolted against which dictator?",Porfirio Díaz,"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,porfiriodiaz.jpg,,
Who was the first actor to born in Mexico to win an Academy Award?,"Anthony Quinn, Best Supporting Actor, \emph{Viva Zapata!} (1952)","Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,quinn.jpg,,
"Which Mesoamerican people created the colossal stone head pictured here, which is located in present-day Mexico and which is about 10 feet tall?",The Olmec,"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",olmechead.jpg,,,
Which famous Aztec leader did Spanish explorer Hernán Cortés meet face to face?,Montezuma or Moctezuma (technically II but we’ll accept just the name without the suffix),"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,montezuma.jpg,,
"According to the California Avocado Commission, on which Mexican holiday do Americans consume up to 81 million pounds of  avocados?",Cinco de Mayo,"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,cincodeavo.jpeg,,
"To within five million, what is the population of Mexico?",127 million (122 million-132 million will be accepted),"Mexico, Our Friendly Neighbor to the South","Mexico, Our Friendly Neighbor to the South",,mexicopop.jpg,,
Which countries border Mexico?,"The U.S., Guatemala, and Belize",Bonus,"Mexico, Our Friendly Neighbor to the South",,mexicoborder.jpg,,
